TYPE,PRODUCT_ID,DESTINATION,NAME
image/jpg,1,CARD,card_1_1.jpg
image/jpg,1,CARD,card_1_2.jpg
image/jpg,1,CARD,card_1_3.jpg
image/jpg,1,CARD,card_1_4.jpg
image/jpg,2,CARD,card_2_1.jpg
image/jpg,2,CARD,card_2_2.jpg
image/jpg,2,CARD,card_2_3.jpg
image/jpg,3,CARD,card_3_1.jpg
image/jpg,3,CARD,card_3_2.jpg
image/jpg,3,CARD,card_3_3.jpg
image/jpg,4,CARD,card_4_1.jpg
image/jpg,4,CARD,card_4_2.jpg
image/jpg,4,CARD,card_4_3.jpg
image/jpg,5,CARD,card_5_1.jpg
image/jpg,5,CARD,card_5_2.jpg
image/jpg,5,CARD,card_5_3.jpg
image/jpg,6,CARD,card_6_1.jpg
image/jpg,6,CARD,card_6_2.jpg
image/jpg,6,CARD,card_6_3.jpg
image/jpg,7,CARD,card_7_1.jpg
image/jpg,7,CARD,card_7_2.jpg
image/jpg,7,CARD,card_7_3.jpg
image/jpg,8,CARD,card_8_1.jpg
image/jpg,8,CARD,card_8_2.jpg
image/jpg,8,CARD,card_8_3.jpg
image/jpg,8,CARD,card_8_4.jpg
image/jpg,9,CARD,card_9_1.jpg
image/jpg,9,CARD,card_9_2.jpg
image/jpg,9,CARD,card_9_3.jpg
image/jpg,10,CARD,card_10_1.jpg
image/jpg,10,CARD,card_10_2.jpg
image/jpg,10,CARD,card_10_3.jpg
image/jpg,11,CARD,card_11_1.jpg
image/jpg,11,CARD,card_11_2.jpg
image/jpg,11,CARD,card_11_3.jpg
image/jpg,12,CARD,card_12_1.jpg
image/jpg,12,CARD,card_12_2.jpg
image/jpg,12,CARD,card_12_3.jpg
image/jpg,13,CARD,card_13_1.jpg
image/jpg,13,CARD,card_13_2.jpg
image/jpg,13,CARD,card_13_3.jpg
image/jpg,14,CARD,card_14_1.jpg
image/jpg,14,CARD,card_14_2.jpg
image/jpg,14,CARD,card_14_3.jpg
image/jpg,15,CARD,card_15_1.jpg
image/jpg,15,CARD,card_15_2.jpg
image/jpg,15,CARD,card_15_3.jpg
image/jpg,16,CARD,card_16_1.jpg
image/jpg,16,CARD,card_16_2.jpg
image/jpg,17,CARD,card_17_1.jpg
image/jpg,17,CARD,card_17_2.jpg




















































